best_fitness,std_dev_best_fitness,average_fitness,std_dev_avg_fitness,evaluations,generations,population_size,mutation_rate,crossover_rate
0.5,0.013698247071761127,0.48034440497835496,0.05762587819760685,499900,4999,100,0.5,0.7
1.0,0.04824807465685793,0.29724320233007734,0.04745192532411408,59900,599,100,0.5,0.7
1.0,0.0,0.1609707792207792,0.0,0,0,100,0.5,0.7
1.0,0.06309553497861814,0.29759619782574326,0.0741400774762957,32900,329,100,0.5,0.7
1.0,0.08033645360908302,0.26522195682999444,0.04003279463531225,47800,478,100,0.5,0.7
1.0,0.12333547831682583,0.1713493992779707,0.00894730789499941,2000,20,100,1.0,0.9
1.0,0.02001601922563589,0.26777033647067805,0.03632845786965363,62300,623,100,1.0,0.9
1.0,0.040320504429225135,0.2722290927470912,0.036085024214967724,63100,631,100,1.0,0.9
1.0,0.054564315495038325,0.2860704589748167,0.04830036078458007,81500,815,100,1.0,0.9
1.0,0.06108472217815261,0.1940745531417173,0.022924745877562668,6600,66,100,1.0,0.9
1.0,0.044367825470805686,0.20962644420321586,0.029184858021585453,12600,126,100,1.0,0.9
1.0,0.0980225386753677,0.2150403716292388,0.03028093274039212,12700,127,100,1.0,0.9
1.0,0.020844900981827844,0.2850380266268187,0.033154603650631755,83100,831,100,1.0,0.9
1.0,0.024937733402690822,0.2666718879517387,0.03371568777631801,40100,401,100,1.0,0.9
1.0,0.0682644688400541,0.261038967190445,0.0340900649671736,40500,405,100,1.0,0.9
1.0,0.029030305162793767,0.2838758712388178,0.03719455351882083,65600,656,100,1.0,0.9
1.0,0.045267873021259265,0.2136514234854399,0.02601910621581397,12100,121,100,1.0,0.9
1.0,0.039077957831504175,0.2238042080915215,0.023728316943831203,20000,200,100,1.0,0.9
1.0,0.10122703976827,0.20516321038905072,0.024844507268471917,12500,125,100,1.0,0.9
1.0,0.09445935759857362,0.2116969417865371,0.0329455342631923,17200,172,100,1.0,0.9
1.0,0.047610464981481915,0.2514426642177507,0.03276521135301429,28800,288,100,1.0,0.9
1.0,0.04769171324316808,0.29553758427814597,0.038153576968222615,162800,1628,100,1.0,0.9
1.0,0.09022109770738064,0.23773912271938585,0.03582367088622742,26500,265,100,1.0,0.9
1.0,0.07367863734773991,0.24953835474561278,0.043657410159452445,30900,309,100,1.0,0.9
1.0,0.100739837460089,0.20237401459926213,0.02843216958726221,10000,100,100,1.0,0.9
1.0,0.10236006470300758,0.20652788039506795,0.02455609520202515,9500,95,100,1.0,0.9
1.0,0.06787473098737455,0.26160523292496973,0.041750949345861293,28400,284,100,1.0,0.9
1.0,0.09016182400070218,0.23308174046014513,0.035342063440913514,25600,256,100,1.0,0.9
1.0,0.06154574548966637,0.20684991649764375,0.020729083780593113,6500,65,100,1.0,0.9
1.0,0.042257712736425826,0.22242410843125132,0.03327505694335779,13900,139,100,1.0,0.9
1.0,0.0889691747841893,0.23137451909547344,0.03453886499117811,24000,240,100,1.0,0.9
1.0,0.09622504486493763,0.18575319330874884,0.012384124097870788,2600,26,100,1.0,0.9
1.0,0.04820085261637428,0.2745633817163229,0.03880324121868063,76400,764,100,1.0,0.9
1.0,0.046305535913193335,0.3043585209760628,0.0406537166631549,125600,1256,100,1.0,0.9
1.0,0.029988007195203358,0.25541787648802033,0.039761019434735236,27700,277,100,1.0,0.9
0.5,0.02571715914433185,0.48521942682372093,0.05436732331819321,749850,4999,150,0.01,0.7
0.5,0.0,0.49120687028527027,0.045920965598167204,749850,4999,150,0.01,0.7
1.0,0.23570226039551584,0.15904804026311375,0.0045143399801776,1050,7,150,0.01,0.7
1.0,0.07911636048404024,0.2934543858918859,0.08472435145245336,59850,399,150,0.01,0.7
1.0,0.01285011655108568,0.4711111137785121,0.07709014479706659,226950,1513,150,0.01,0.7
0.5,0.02091460775383638,0.48713788759758764,0.05446002409686721,749850,4999,150,0.01,0.7
0.5,0.03513360510074092,0.4832111999371,0.05773294563123256,749850,4999,150,0.01,0.7
0.5,0.022990001141255725,0.4871845856328857,0.05270438367881596,749850,4999,150,0.01,0.7
1.0,0.011378338965675729,0.47117008895931733,0.07658273625751126,289500,1930,150,0.01,0.7
1.0,0.0,0.16057453657453657,0.0,0,0,150,0.01,0.7
1.0,0.10675210253672476,0.17829422714038098,0.01260366810823004,5700,38,150,0.01,0.7
1.0,0.03466876226407682,0.2703064787331614,0.054889013333126895,31050,207,150,0.01,0.7
0.5,0.0,0.4893850386359827,0.04717113433420091,749850,4999,150,0.01,0.7
1.0,0.07961859648723561,0.3038517337281705,0.061207967105441186,78150,521,150,0.01,0.7
1.0,0.009880188152190546,0.4823519602254081,0.0627246563160845,384000,2560,150,0.01,0.7
0.5,0.019721083072611525,0.4904759288378289,0.047823455258955316,749850,4999,150,0.01,0.7
0.5,0.010255509716262403,0.4881374951516893,0.050544845418664504,749850,4999,150,0.01,0.7
1.0,0.010427987903207352,0.4855661210631914,0.05536672270564809,344700,2298,150,0.01,0.7
1.0,0.032826608214930636,0.2643354722783602,0.054670115540675635,34650,231,150,0.01,0.7
1.0,0.07147696351420017,0.2326722391846175,0.04107048239150289,20700,138,150,0.01,0.7
1.0,0.04672160455129433,0.4506241799261368,0.0897134274611469,222150,1481,150,0.01,0.7
0.5,0.016584782512960503,0.48908233091723086,0.049625259744973886,749850,4999,150,0.01,0.7
1.0,0.10651074037450896,0.185018907283193,0.014548088071615015,5100,34,150,0.01,0.7
1.0,0.025785531156469834,0.40599664209903563,0.11837923612331148,56250,375,150,0.01,0.7
0.5,0.0,0.4915954953940395,0.04399114185817547,749850,4999,150,0.01,0.7
0.5,0.006661997431348079,0.48711512765252185,0.055082258643954524,749850,4999,150,0.01,0.7
0.5,0.0,0.4890143590631591,0.0483566251988984,749850,4999,150,0.01,0.7
0.5,0.0,0.488757336030636,0.04933870479609985,749850,4999,150,0.01,0.7
1.0,0.04256282653793743,0.23589553130924218,0.0499063859823531,20550,137,150,0.01,0.7
1.0,0.04256282653793743,0.2265371954937172,0.037154092605059925,20550,137,150,0.01,0.7
1.0,0.06756389246394531,0.3446003964311204,0.09779111541857508,97350,649,150,0.5,0.9
1.0,0.044311774072639,0.2699960938403761,0.054450333132203425,61500,410,150,0.5,0.9
1.0,0.06457601182596748,0.26882674410535107,0.04717394018337084,60150,401,150,0.5,0.9
1.0,0.07939783541400282,0.25133396026011684,0.048807512319035094,42000,280,150,0.5,0.9
1.0,0.07988714113125799,0.2543334877243968,0.04552892862131673,49350,329,150,0.5,0.9
1.0,0.01367939137911457,0.43190591702736164,0.0992907945495273,200250,1335,150,0.5,0.9
1.0,0.08252649442133296,0.2400652239263285,0.040736023721332885,33300,222,150,0.5,0.9
1.0,0.07263638152649105,0.2347129092791193,0.03597419546911169,32700,218,150,0.5,0.9
1.0,0.08391531509940041,0.27749491225436845,0.07107477512941301,63300,422,150,0.5,0.9
1.0,0.03285346707757364,0.3636070834431698,0.10556110255211987,117900,786,150,0.5,0.9
1.0,0.02256468412032621,0.3074104559542441,0.07166157999957788,73500,490,150,0.5,0.9
1.0,0.08601108898473246,0.25576021099803514,0.04377753241154209,55650,371,150,0.5,0.9
